Source,JurisdictionName,PostalAbbreviation,ProfileYear,FIPSCode,JurisdictionType,HHSRegion,Participation,region,GovClassification,governance,structure,size,density,employeeTotal,positionTotal,regularPositionTotal,tempEmployeeTotal,fteTotal,regularFTETotal,tempFTETotal,positionsLHD,positionsRHD,positionsSHDCent,positionsSHDOut,workforceDevDir,directorFTE,vacPositions,vacPerc,sepEmp,turnoverRate,perPopFTE,perPopEmp,perPopVacPositions,perPopSepEmp,perPopQuarEmp,perPopQuarFTE,perPopQuarVacPositions,vacPercQuar,vacPercQuarLabel,turnoverRateQuar,turnoverRateQuarLabel,perPopQuarSepEmp,perPopQuarSepEmpLabel,directorFTEQuar,occupationFunction,occupationClassification,positionType,occupationDataFlag,rawOccupationFTE,perPopOccupationFTE,rawFTEQuar,rawFTEQuarLabel,perPopOccFTEQuar,perPopOccFTEQuarLabel,PYPop,tempEmpRate,perPopQuarEmpLabel,perPopQuarFTELabel,perPopQuarVacPositionsLabel,tempEmpTotalQuar,tempEmpTotalQuarLabel,tempEmpRateQuar,tempEmpRateQuarLabel,rawOccupationFTEM,perPopOccupationFTEM,perPopFTEN,perPopEmpN,perPopVacPositionsN,perPopSepEmpN,vacPercN,rawOccFTEN,perPopOccFTEN,tempEmpRateN
regularFTE_Admin,Vermont,VT,2019,50,All States,1,Completed Profile Survey,New England,Centralized,Centralized/Largely Centralized,Under an umbrella,Less than 2 million,20 - 100 people per square mile,502,576,532,44,502,502,,0,153,368,55,No,,30,5.639097744,55,1.09561753,80.45013614,80.45013614,4.80777706,8.814257944,4,4,3,2,2 (4.9% - 6.9%),2,2 (1 - 1.3),3,3 (4.8 - 10.4),,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,112,17.94903436,2,2 (75 - 148),4,4 (11.2 - 138.9),623989,0.876494024,4 (60.6 - 1220),4 (61.7 - 700),3 (2.3 - 5),3,3 (2.2 - 7.5),2,2 (0.5 - 0.9),0,0,,,,,,,,
regularFTE_Admin,West Virginia,WV,2019,54,All States,3,Completed Profile Survey,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,Less than 2 million,20 - 100 people per square mile,471,737,624,113,620.43,620.43,,0,47,577,0,No,,153,24.51923077,112,2.377919321,34.61936995,26.28132625,8.537246108,6.249487347,2,2,4,4,4 (12.4% - 24.8%),4,4 (1.8 - 4.7),3,3 (4.8 - 10.4),,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,144.5,8.062954657,2,2 (75 - 148),3,3 (4.9 - 11.2),1792147,2.399150743,2 (15.6 - 33),2 (15.9 - 35.9),4 (5 - 242),3,3 (2.2 - 7.5),4,4 (2.1 - 8.7),0,0,,,,,,,,
regularFTE_Admin,Oregon,OR,2019,41,All States,10,Completed Profile Survey,West,Largely Decentralized,Decentralized/Largely Decentralized,Under an umbrella,2 million to 10 million,20 - 100 people per square mile,,599,588,11,534.68,534.68,,,,,,,,,,70,,12.67694026,,,1.659657774,,1,,,,,,1,1 (0.2 - 1.8),,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,,,,,,,4217737,,,1 (5.2 - 15.9),,1,1 (0 - 1.1),,,1,1,,,,,,,,
regularFTE_Admin,Nevada,NV,2019,32,All States,9,Completed Profile Survey,West,Largely Decentralized,Decentralized/Largely Decentralized,Under an umbrella,2 million to 10 million,20 - 100 people per square mile,1634,1808,1728,80,1708.82,1708.82,,299,149,157,1123,Yes,,94,5.439814815,219,1.340269278,55.47835889,53.04926114,3.051793481,7.110029492,3,3,3,2,2 (4.9% - 6.9%),3,3 (1.3 - 1.7),3,3 (4.8 - 10.4),,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,384,12.46690103,4,4 (325 - 2073.8),4,4 (11.2 - 138.9),3080156,0.489596083,3 (33.1 - 60.6),3 (36 - 61.7),3 (2.3 - 5),3,3 (2.2 - 7.5),2,2 (0.5 - 0.9),0,0,,,,,,,,
regularFTE_Admin,Republic of Palau,PW,2019,70,Island Areas,9,Completed Profile Survey,West,Island Area,Island Area,Under an umbrella,Less than 2 million,100.1 - 500 people per square mile,110,127,126,1,126,126,,,,,,No,,16,12.6984127,45,4.090909091,700,611.1111111,88.88888889,250,4,4,4,4,4 (12.4% - 24.8%),4,4 (1.8 - 4.7),4,4 (10.4 - 250),,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,25,138.8888889,1,1 (2 - 75),4,4 (11.2 - 138.9),18000,0.090909091,4 (60.6 - 1220),4 (61.7 - 700),4 (5 - 242),3,3 (2.2 - 7.5),1,1 (0 - 0.5),0,0,,,,,,,,
regularFTE_Admin,Oklahoma,OK,2019,40,All States,6,Completed Profile Survey,South,Mixed,Mixed,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,1494,1822,1744,78,1629,1629,,988,,756,,No,,250,14.33486239,516,3.453815261,41.16785289,37.75615237,6.317963917,13.04027753,3,3,4,4,4 (12.4% - 24.8%),4,4 (1.8 - 4.7),4,4 (10.4 - 250),,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,443,11.19543206,4,4 (325 - 2073.8),3,3 (4.9 - 11.2),3956971,0.522088353,3 (33.1 - 60.6),3 (36 - 61.7),4 (5 - 242),2,2 (1.1 - 2.2),2,2 (0.5 - 0.9),0,0,,,,,,,,
regularFTE_Admin,New York,NY,2019,36,All States,2,Completed Profile Survey,New England,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,More than 10 million,100.1 - 500 people per square mile,2981,3687,3314,373,3280,3280,,0,564,2750,0,Yes,,333,10.04828002,35,0.117410265,16.86066628,15.32367262,1.711768863,0.179915646,1,2,2,3,3 (6.9% - 12.4%),1,1 (0.1 - 1),1,1 (0.2 - 1.8),,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,514,2.642189777,4,4 (325 - 2073.8),2,2 (2.4 - 4.9),19453561,1.251257967,1 (4.3 - 15.6),2 (15.9 - 35.9),2 (1 - 2.2),2,2 (1.1 - 2.2),3,3 (0.9 - 2),0,0,,,,,,,,
regularFTE_Admin,American Samoa,AS,2019,60,Island Areas,9,Did not complete Profile Survey,West,Island Area,Island Area,,Less than 2 million,More than 500 people per square mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,,,,,,,47000,,,,,,,,,1,1,,,,,,,,
regularFTE_Admin,Wyoming,WY,2019,56,All States,8,Completed Profile Survey,Mountain/Midwest,Mixed,Mixed,Under an umbrella,Less than 2 million,Less than 20 people per square mile,247,282,262,20,212,212,,71,0,8,0,Yes,,15,5.72519084,60,2.429149798,36.63009992,42.67752208,2.591752353,10.36700941,3,3,3,2,2 (4.9% - 6.9%),4,4 (1.8 - 4.7),3,3 (4.8 - 10.4),,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,16.2,2.799092541,1,1 (2 - 75),2,2 (2.4 - 4.9),578759,0.809716599,3 (33.1 - 60.6),3 (36 - 61.7),3 (2.3 - 5),3,3 (2.2 - 7.5),2,2 (0.5 - 0.9),0,0,,,,,,,,
regularFTE_Admin,Commonwealth of the Northern Mariana Islands,MP,2019,69,Island Areas,9,Completed Profile Survey,West,Island Area,Island Area,Under an umbrella,Less than 2 million,100.1 - 500 people per square mile,366,785,487,298,278,278,,,,,,Yes,,121,24.84599589,69,1.885245902,556,732,242,138,4,4,4,4,4 (12.4% - 24.8%),4,4 (1.8 - 4.7),4,4 (10.4 - 250),,Administrative Occupations,All Occupational Classifications,Regular,Data Collected,65,130,1,1 (2 - 75),4,4 (11.2 - 138.9),50000,8.142076503,4 (60.6 - 1220),4 (61.7 - 700),4 (5 - 242),4,4 (7.5 - 596),4,4 (2.1 - 8.7),0,0,,,,,,,,
