employeeTotal,employeeTotalM,sepEmp,sepEmpM,retEmpPerc,retEmpPercM,perPopEmp,perPopSepEmp,JurisdictionName,PostalAbbreviation,ProfileYear,FIPSCode,HHSRegion,Participation,REGION,GovClassification,governance,structure,size,density,regularPositionTotal,regularFTETotal,tempEmployeeTotal,tempFTETotal,positionTotal,fteTotal,positionsLHD,positionsRHD,positionsSHDCent,positionsSHDOut,workforceDevDir,vacPositions,vacPerc,perPopFTE,perPopVacPositions,attritionType,attritionYear,attritionCause,attritionValue,attritionNumerator,attritionDenominator,JurisdictionType,FYPop,turnoverRateM,turnoverRate,perPopQuarEmp,perPopQuarEmpLabel,turnoverRateQuar,turnoverRateQuarLabel,perPopQuarSepEmp,perPopQuarSepEmpLabel,retEmpPercQuar,perPopEmpN,perPopSepEmpN,turnoverRateN,retEmpPercN
,1,,1,,1,,,Puerto Rico,PR,2012,72,2,Did not complete Profile Survey,New England,Island Area,Island Area,,2 million to 10 million,More than 500 people per square mile,,,,,,,,,,,,,,,,Employees,2009,Separated,,,,2,,1,,,,,,,,,,,,
,0,58,0,,1,,0.961545186,Wisconsin,WI,2012,55,5,Completed Profile Survey,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,2 million to 10 million,100.1 - 500 people per square mile,421,394.45,,,421,394.45,,21.85,372.6,,Yes,31,7.363420428,6.896027245,0.541961832,Employees,2009,Separated,,58,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,1,,1,,1,,,U.S. Virgin Islands,VI,2012,78,2,Did not complete Profile Survey,New England,Island Area,Island Area,,Less than 2 million,More than 500 people per square mile,,,,,,,,,,,,,,,,Employees,2009,Separated,,,,2,,1,,,,,,,,,,,,
,0,167,0,,1,,1.969336608,North Carolina,NC,2012,37,4,Completed Profile Survey,South,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,2 million to 10 million,100.1 - 500 people per square mile,1840,1827.91,,,1840,1827.91,,791,,,No,272,14.7826087,18.7488025,2.789893529,Employees,2009,Separated,,167,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,1,,1,,1,,,Federated States of Micronesia,FM,2012,64,9,Completed Profile Survey,West,Island Area,Island Area,Freestanding/independent,Less than 2 million,100.1 - 500 people per square mile,,,,,,,,,,,,,,,,Employees,2009,Separated,,,,2,,1,,,,,,,,,,,,
,0,48,0,,1,,1.736855778,New Hampshire,NH,2012,33,1,Completed Profile Survey,New England,Largely Centralized,Centralized/Largely Centralized,Under an umbrella,Less than 2 million,100.1 - 500 people per square mile,318,244,,,318,244,,,,,No,10,3.144654088,18.42577434,0.755154686,Employees,2009,Separated,,48,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,0,200,0,,1,,8.981787081,Mississippi,MS,2012,28,4,Completed Profile Survey,South,Centralized,Centralized/Largely Centralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,2349,2338,,,2349,2338,1149,250,950,,Yes,118,5.023414219,78.35603804,3.954667446,Employees,2009,Separated,,200,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,22,0,,1,,2.212266424,Nebraska,NE,2012,31,7,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,Less than 2 million,20 - 100 people per square mile,464,462.15,,,464,462.15,,,,,No,18,3.879310345,24.93655921,0.971238918,Employees,2009,Separated,,22,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,0,365,0,,1,,0.848511679,California,CA,2012,6,9,Completed Profile Survey,West,Decentralized,Decentralized/Largely Decentralized,,More than 10 million,100.1 - 500 people per square mile,3514,3313,,,3514,3313,,1817,1697,,Yes,645.48,18.36881047,8.730183827,1.700923349,Employees,2009,Separated,,365,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,0,107,0,,1,,2.542056104,Colorado,CO,2012,8,8,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,2 million to 10 million,20 - 100 people per square mile,1337,1272,,,1337,1272,,25,,,No,5,0.373971578,24.496177,0.096290004,Employees,2009,Separated,,107,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,0,23,0,,1,,1.040247839,Iowa,IA,2012,19,7,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,470,410,,,470,410,,,,,No,2,0.425531915,13.32817544,0.06501549,Employees,2009,Separated,,23,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,1,2188,0,,1,,13.5352062,Florida,FL,2012,12,4,Completed Profile Survey,South,Centralized,Centralized/Largely Centralized,Freestanding/independent,More than 10 million,100.1 - 500 people per square mile,,15026,,,,15026,9720,,3722,,Yes,50,,77.86370918,0.259096597,Employees,2009,Separated,,2188,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
